Year,Team ID,Old ID,Team,Team Nickname,Win,Lose,Tie
1990,AAA,D01,味全龍,味全,52,34,4
1990,ACC,E01,兄弟象,兄弟,34,49,7
1990,ADD,L01,統一獅,統一,37,49,4
1990,ABB,T01,三商虎,三商,47,38,5
1991,AAA,D01,味全龍,味全,46,36,8
1991,ACC,E01,兄弟象,兄弟,38,49,3
1991,ADD,L01,統一獅,統一,46,34,10
1991,ABB,T01,三商虎,三商,35,46,9
1992,AAA,D01,味全龍,味全,41,42,7
1992,ACC,E01,兄弟象,兄弟,51,35,4
1992,ADD,L01,統一獅,統一,41,45,4
1992,ABB,T01,三商虎,三商,36,47,7
1993,AEE,B01,俊國熊,俊國,40,47,3
1993,AFF,C01,時報鷹,時報,36,52,2
1993,AAA,D01,味全龍,味全,48,40,2
1993,ACC,E01,兄弟象,兄弟,52,36,2
1993,ADD,L01,統一獅,統一,54,34,2
1993,ABB,T01,三商虎,三商,33,54,3
1994,AEE,B01,俊國熊,俊國,29,59,2
1994,AFF,C01,時報鷹,時報,46,43,1
1994,AAA,D01,味全龍,味全,36,52,2
1994,ACC,E01,兄弟象,兄弟,64,24,2
1994,ADD,L01,統一獅,統一,48,38,4
1994,ABB,T01,三商虎,三商,40,47,3
1995,AEE,B01,俊國熊,俊國,40,58,2
1995,AFF,C01,時報鷹,時報,49,50,1
1995,AAA,D01,味全龍,味全,47,52,1
1995,ACC,E01,兄弟象,兄弟,48,51,1
1995,ADD,L01,統一獅,統一,62,36,2
1995,ABB,T01,三商虎,三商,49,48,3
1996,AEG,B02,興農牛,興農,28,69,3
1996,AFF,C01,時報鷹,時報,56,41,3
1996,AAA,D01,味全龍,味全,55,43,2
1996,ACC,E01,兄弟象,兄弟,52,43,5
1996,ADD,L01,統一獅,統一,60,37,3
1996,ABB,T01,三商虎,三商,39,57,4
1997,AEG,B02,興農牛,興農,45,48,3
1997,AFF,C01,時報鷹,時報,41,51,4
1997,AAA,D01,味全龍,味全,46,46,4
1997,ACC,E01,兄弟象,兄弟,45,44,7
1997,ADD,L01,統一獅,統一,58,31,7
1997,ABB,T01,三商虎,三商,46,44,6
1997,AHH,W01,和信鯨,和信,39,56,1
1998,AEG,B02,興農牛,興農,58,45,2
1998,AAA,D01,味全龍,味全,56,48,1
1998,ACC,E01,兄弟象,兄弟,33,69,3
1998,ADD,L01,統一獅,統一,57,45,3
1998,ABB,T01,三商虎,三商,50,52,3
1998,AHH,W01,和信鯨,和信,54,49,2
1999,AEG,B02,興農牛,興農,30,61,2
1999,AAA,D01,味全龍,味全,49,39,4
1999,ACC,E01,兄弟象,兄弟,37,53,4
1999,ADD,L01,統一獅,統一,56,37,0
1999,ABB,T01,三商虎,三商,39,52,2
1999,AHH,W01,和信鯨,和信,60,29,2
2000,AEG,B02,興農牛,興農,51,38,1
2000,ACC,E01,兄弟象,兄弟,38,48,4
2000,ADD,L01,統一獅,統一,44,43,3
2000,AHH,W01,和信鯨,和信,41,45,4
2001,AEG,B02,興農牛,興農,34,51,5
2001,ACC,E01,兄弟象,兄弟,44,39,7
2001,ADD,L01,統一獅,統一,49,37,4
2001,AHH,W01,和信鯨,和信,45,45,0
2002,AEG,B02,興農牛,興農,44,45,1
2002,ACC,E01,兄弟象,兄弟,53,33,4
2002,ADD,L01,統一獅,統一,32,54,4
2002,AHH,W01,中信鯨,中信,45,42,3
2003,AJJ,A01,第一金剛,第一,20,71,9
2003,AEG,B02,興農牛,興農,62,32,6
2003,ACC,E01,兄弟象,兄弟,63,31,6
2003,AII,G01,誠泰太陽,誠泰,30,64,6
2003,ADD,L01,統一獅,統一,54,39,7
2003,AHH,W01,中信鯨,中信,51,43,6
2004,AJK,A02,La New熊,La new,40,56,4
2004,AEG,B02,興農牛,興農,52,43,5
2004,ACC,E01,兄弟象,兄弟,54,45,1
2004,AII,G01,誠泰Cobras,誠泰,43,54,3
2004,ADD,L01,統一獅,統一,54,40,6
2004,AHH,W01,中信鯨,中信,45,50,5
2005,AJK,A02,La New熊,La new,42,55,3
2005,AEG,B02,興農牛,興農,53,42,6
2005,ACC,E01,兄弟象,兄弟,47,49,4
2005,AII,G01,誠泰Cobras,誠泰,50,43,8
2005,ADD,L01,統一獅,統一,48,49,3
2005,AHH,W01,中信鯨,中信,47,49,4
2006,AJK,A02,La New熊,La new,62,34,4
2006,AEG,B02,興農牛,興農,48,49,3
2006,ACC,E01,兄弟象,兄弟,40,59,1
2006,AII,G01,誠泰Cobras,誠泰,48,50,2
2006,ADD,L01,統一獅,統一,48,45,7
2006,AHH,W01,中信鯨,中信,42,51,7
2007,AJK,A02,La New熊,La new,58,42,0
2007,AEG,B02,興農牛,興農,42,57,1
2007,ACC,E01,兄弟象,兄弟,49,50,1
2007,AII,G01,誠泰Cobras,誠泰,44,55,1
2007,ADD,L01,統一獅,統一,58,41,1
2007,AHH,W01,中信鯨,中信,46,52,2
2008,AJK,A02,La New熊,La new,61,35,4
2008,AEG,B02,興農牛,興農,37,62,1
2008,ACC,E01,兄弟象,兄弟,52,42,4
2008,AIL,G02,米迪亞暴龍,米迪亞,37,60,1
2008,ADD,L01,統一7-ELEVEn獅,統一,67,33,0
2008,AHH,W01,中信鯨,中信,39,61,0
2009,AJK,A02,La New熊,La new,61,58,1
2009,AEG,B02,興農牛,興農,57,60,3
2009,ACC,E01,兄弟象,兄弟,54,63,3
2009,ADD,L01,統一7-ELEVEn獅,統一,63,54,3
2010,AJK,A02,La New熊,La new,55,62,3
2010,AEG,B02,興農牛,興農,65,53,2
2010,ACC,E01,兄弟象,兄弟,61,57,2
2010,ADD,L01,統一7-ELEVEn獅,統一,54,63,3
2011,AJK,A02,Lamigo桃猿,Lamigo,66,52,2
2011,AEG,B02,興農牛,興農,45,72,3
2011,ACC,E01,兄弟象,兄弟,60,60,0
2011,ADD,L01,統一7-ELEVEn獅,統一,65,52,3
2012,AJK,A02,Lamigo桃猿,Lamigo,66,52,2
2012,AEG,B02,興農牛,興農,38,77,5
2012,ACC,E01,兄弟象,兄弟,60,58,2
2012,ADD,L01,統一7-ELEVEn獅,統一,71,48,1
2013,AJK,A02,Lamigo桃猿,Lamigo,58,60,2
2013,AEM,B03,義大犀牛,義大,62,57,1
2013,ACC,E01,兄弟象,兄弟,55,65,0
2013,ADD,L01,統一7-ELEVEn獅,統一,62,55,3
2014,AJK,A02,Lamigo桃猿,Lamigo,66,51,3
2014,AEM,B03,義大犀牛,義大,58,60,2
2014,ACN,E02,中信兄弟,中信,50,66,4
2014,ADD,L01,統一7-ELEVEn獅,統一,58,55,7
2015,AJK,A02,Lamigo桃猿,Lamigo,68,52,0
2015,AEM,B03,義大犀牛,義大,58,61,1
2015,ACN,E02,中信兄弟,中信,63,56,1
2015,ADD,L01,統一7-ELEVEn獅,統一,49,69,2
2016,AJK,A02,Lamigo桃猿,Lamigo,53,64,3
2016,AEM,B03,義大犀牛,義大,61,58,1
2016,ACN,E02,中信兄弟,中信,68,50,2
2016,ADD,L01,統一7-ELEVEn獅,統一,55,65,0
2017,AJK,A02,Lamigo桃猿,Lamigo,78,41,1
2017,ACN,E02,中信兄弟,中信,53,64,3
2017,ADD,L01,統一7-ELEVEn獅,統一,57,61,2
2017,AEO,B04,富邦悍將,富邦,48,70,2
2018,AJK,A02,Lamigo桃猿,Lamigo,73,47,0
2018,ADD,L01,統一7-ELEVEn獅,統一,64,55,1
2018,AEO,B04,富邦悍將,富邦,54,66,0
2018,ACN,E02,中信兄弟,中信,48,71,1
2019,AEO,B04,富邦悍將,富邦,63,55,2
2019,AJK,A02,Lamigo桃猿,Lamigo,63,55,2
2019,ACN,E02,中信兄弟,中信,62,56,2
2019,ADD,L01,統一7-ELEVEn獅,統一,48,70,2
2020,AEO,B04,富邦悍將,富邦,54,65,1
2020,AJL,AJL011,樂天桃猿,樂天,59,61,0
2020,ACN,E02,中信兄弟,中信,67,51,2
2020,ADD,L01,統一7-ELEVEn獅,統一,58,61,1
2021,ACN,,中信兄弟,中信,66,49,5
2021,ADD,,統一7-ELEVEn獅,統一,64,51,5
2021,AJL,,樂天桃猿,樂天,56,61,3
2021,AEO,,富邦悍將,富邦,54,62,4
2021,AAA,,味全龍,味全,50,67,3
2022,ACN,,中信兄弟,中信,69,47,4
2022,ADD,,統一7-ELEVEn獅,統一,48,69,3
2022,AJL,,樂天桃猿,樂天,70,46,4
2022,AEO,,富邦悍將,富邦,46,70,4
2022,AAA,,味全龍,味全,57,58,5
2023,ACN,,中信兄弟,中信,57,58,5
2023,ADD,,統一7-ELEVEn獅,統一,62,55,3
2023,AJL,,樂天桃猿,樂天,60,56,4
2023,AEO,,富邦悍將,富邦,48,67,5
2023,AAA,,味全龍,味全,62,53,5
2024,ACN,,中信兄弟,中信,70,50,0
2024,ADD,,統一7-ELEVEn獅,統一,66,53,1
2024,AJL,,樂天桃猿,樂天,62,57,1
2024,AEO,,富邦悍將,富邦,53,66,1
2024,AAA,,味全龍,味全,58,62,0
2024,AKP,,台鋼雄鷹,台鋼,49,70,1
